2001	8 ساعات في اليوم بحد أقصى، ما لم يُنص على غير كده.
2002	ممكن بس بشرطين: ما يزيدش عن 48 ساعة في الأسبوع (من غير حساب الراحة). يتم احتساب الساعات الزايدة كعمل إضافي ويتحسب لها أجر أعلى.
2003	48 ساعة أسبوعيًا بحد أقصى.
2004	لأ، ما بتتحسبش ضمن ساعات العمل الفعلية. يعني لو شغلك 8 ساعات، بيبقى غيرهم فترات الراحة.
2005	على الأقل ساعة راحة خلال يوم العمل، لو كان العمل متصل أكتر من 5 ساعات.
2006	بعد 5 ساعات متصلة شغل لازم تاخد استراحة.
2007	24 ساعة متصلة (يعني يوم كامل).
2008	آه، يوم راحة بأجر كامل كل أسبوع.
2009	ينفع يتبدل يوم الراحة بأي يوم تاني حسب طبيعة الشغل، بس بشرط يكون 24 ساعة متصلة، مش لازم جمعة أو سبت.
2010	لأ، الأيام دي مش محسوبة ضمن ساعات العمل، هي راحة أسبوعية أو رسمية.
2011	21 يوم سنويًا لو اشتغلت سنة كاملة.
2012	في السنة التانية توصل لـ 21 يوم.
2013	بعد 10 سنين خدمة أو لو عدّيت الـ50 سنة سنًا.
2014	30 يوم إجازة سنوية.
2015	30 يوم سنوية من أول يوم تعيين.
2016	بياخدوا 7 أيام إضافية على الإجازة السنوية.
2017	6 أيام في السنة.
2018	بتتحسب ضمن الـ21 يوم السنويين، مش إضافية.
2019	يقدر ياخد إجازة بعدد أيام الامتحانات الفعلية.
2020	مجانية، مش بتنقص من رصيد الإجازة السنوية.
2021	الأب ليه حق في 7 أيام إجازة عند ولادة طفله، يقدر يستخدمهم خلال أول 6 شهور من تاريخ الولادة. الإجازة دي مدفوعة الأجر بالكامل، وبتساعد الأب يكون مع أسرته في الأيام الأولى المهمة دي.
2022	المرأة العاملة ليها 3 شهور إجازة وضع بأجر كامل. تقدر تبدأها قبل الولادة أو بعدها حسب حالتها الصحية. وده بيكون مرتين خلال فترة شغلها في نفس المكان.
2023	الأب يقدر ياخد إجازة الوضع مرتين بس طول فترة عمله مع نفس صاحب العمل. يعني لو اشتغل في شركة جديدة يقدر ياخدها مرتين تاني.
2024	أيوه، القانون بيلزم صاحب العمل يرجعها لنفس شغلها أو شغل مشابه ليه بعد ما تخلص إجازة الوضع، ومينفعش يتم فصلها أو تقليل حقوقها بسبب الإجازة.
2025	من بداية الشهر السابع للحمل، الست تقدر تطلب تقليل ساعة من وقت شغلها كل يوم من غير خصم من المرتب، وده لحمايتها هي والجنين من الإرهاق.
2026	المرضعة ليها فترتين راحة في اليوم للرضاعة، كل واحدة مدتها نص ساعة. الفترتين دول غير فترات الراحة العادية، ومش بيتخصم منهم أي فلوس.
2027	العامل له 90 يوم إجازة مرضية في السنة، أول 30 يوم منهم بأجر كامل. باقي الأيام بتكون بنسب أقل حسب المدة.
2028	بعد أول شهر: العامل بياخد 75% من مرتبه في الشهر التاني، وبعد كده بياخد 50% في الشهر التالت. وفي بعض الحالات ممكن يمتد الأجر الجزئي لفترة أطول لو اللجنة الطبية وافقت.
2029	أيوه، لو العامل عنده رصيد من الإجازات السنوية وموافق، يقدر يحول جزء من إجازته المرضية لإجازة سنوية علشان يستفيد من الأجر الكامل بدل النسبة الجزئية.
2030	لو الجهات الطبية شافت إن فيه خطر حقيقي، العامل يقدر ياخد إجازة حجر صحي لمدة تصل إلى شهر. وده لحمايته وحماية زمايله في الشغل.
2031	العامل ليه الحق في إجازة حج لمدة شهر مدفوعة الأجر مرة واحدة بس طول فترة عمله. أما العمرة، القانون مش بيلزم صاحب العمل يمنح إجازة لها، وبتكون حسب سياسة الشركة.
2032	لازم تكون أتممت على الأقل 5 سنين خدمة في مكان شغلك الحالي علشان تقدر تطلب إجازة حج، ومينفعش تاخدها غير مرة واحدة طول فترة الشغل مع نفس الجهة.
2033	في حوالي 13 يوم إجازات رسمية في السنة (زي الأعياد والمناسبات الوطنية)، ودي كلها مدفوعة الأجر ومش بتتخصم من الإجازة السنوية.
2034	لو اشتغلت في يوم إجازة رسمية، ليك حق تاخد أجر إضافي يعادل يومين فوق أجرك العادي أو تاخد يوم راحة بداله، حسب اتفاقك مع الشركة.
2035	ليك الحق تاخد يا إما يوم راحة بديل، يا إما أجر إضافي عن اليوم ده (يعني أجر مضاعف)، وده بيتحدد حسب طبيعة الشغل أو اتفاقك مع جهة العمل.
2036	في 3 أنواع من العقود:عقد محدد المدة, عقد غير محدد المدة, عقد تدريب أو تحت الاختبار (تجربة)
2037	عقد محدد المدة بيكون ليه تاريخ بداية ونهاية، أما غير محدد المدة فمفتوح بدون مدة محددة وبيستمر طالما الطرفين مكملين الشغل.
2038	مدة فترة التجربة في أي عقد ماينفعش تزيد عن 3 شهور، وخلال المدة دي ينفع فسخ العقد من أي طرف بدون تعويض.
2039	أيوه، لو العقد خلص واستمر الشغل بدون تجديد رسمي، بيتحول تلقائي لعقد غير محدد المدة بشكل تلقائي.
2040	أيوه، القانون الجديد بيعترف بالعقود المرنة زي العمل من البيت أو العمل بنظام الساعات، بس لازم يكون في عقد مكتوب يوضح الشروط.
2041	الأصل إن العقد يكون باللغة العربية، خصوصًا لو العامل مصري. لكن لو الشركة أجنبية أو فيها موظفين أجانب، ممكن العقد يتكتب بلغتين (زي العربية والإنجليزية). وفي حالة أي خلاف قانوني، النص العربي هو اللي بيُعتمد عليه رسميًا.
2042	أيوه، لازم العقد يوضّح كل البنود الأساسية زي: اسم العامل، نوع الوظيفة، مكان العمل، قيمة المرتب، عدد ساعات الشغل، الإجازات، مدة العقد، وفترة التجربة لو فيه. وجود البنود دي بيحميك من أي تلاعب أو سوء تفاهم.
2043	مش لازم العقد يتسجل أو يتوقع في جهة حكومية، لكن من المهم إن يكون مكتوب وموقّع من الطرفين (العامل وصاحب العمل)، وتحتفظ بنسخة منه. ده بيساعدك تثبت حقوقك لو حصل خلاف.
2044	لا، صاحب العمل ما يقدرش يغيّر أي بند في العقد من غير موافقة العامل. لازم الطرفين يتفقوا على أي تعديل جديد، وإلا التعديل بيكون باطل. لو حصل تعديل غصب عنك، تقدر تشتكي في مكتب العمل.
2045	أيوه، العامل له الحق يرفض التغييرات اللي بتضره، خصوصًا لو كانت في مواعيد الشغل، الراتب، أو طبيعة العمل. ولو صاحب العمل أصر، العامل يقدر يلجأ لمكتب العمل أو المحكمة المختصة.
